player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,player_total_boat_attacks,s_zzzcurrent_fame,s_zzzcurrent_decks_used,s_zzzcurrent_boat_attacks,s_20260406_fame,s_20260406_decks_used,s_20260406_boat_attacks,s_20260330_fame,s_20260330_decks_used,s_20260330_boat_attacks,s_20260323_fame,s_20260323_decks_used,s_20260323_boat_attacks,s_20260316_fame,s_20260316_decks_used,s_20260316_boat_attacks,s_20260309_fame,s_20260309_decks_used,s_20260309_boat_attacks,s_20260302_fame,s_20260302_decks_used,s_20260302_boat_attacks,s_20260223_fame,s_20260223_decks_used,s_20260223_boat_attacks,s_20260216_fame,s_20260216_decks_used,s_20260216_boat_attacks,s_20260209_fame,s_20260209_decks_used,s_20260209_boat_attacks,s_20260202_fame,s_20260202_decks_used,s_20260202_boat_attacks
#8P89UPQ0,mojede,False,unknown,0,0,0,3,7,3,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,200,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#RG02LG88,Ser0,True,member,0,40,10131,3,5,10,0,0,0,0,200,1,0,600,5,0,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#YJ0LUU0JJ,RedStyle,True,elder,0,0,10537,10,11,137,0,0,0,0,450,3,0,2250,14,0,2900,16,0,2400,16,0,2900,16,0,2400,16,0,3200,16,0,1050,8,0,2600,16,0,2500,16,0
#9CG2CRRJG,Annefred,True,elder,26,80,11783,11,11,134,0,1500,10,0,1000,8,0,1900,13,0,1500,12,0,2200,13,0,2500,16,0,1300,8,0,1400,12,0,2100,12,0,2400,14,0,2400,16,0
#2L8LLRUYV,MF Tarje,True,elder,102,176,12290,11,11,95,2,1150,7,0,1200,8,0,1700,10,0,550,4,0,1400,7,0,1050,6,0,700,4,0,2750,14,2,1500,11,0,1750,12,0,1950,12,0
#22CQPRR0J,Ian,True,elder,24,0,12799,11,11,138,0,1250,8,0,1400,8,0,1800,12,0,2300,12,0,2100,11,0,2400,16,0,1950,11,0,2900,16,0,2200,12,0,2800,16,0,2900,16,0
#2CPRGY8G,Swordfish,True,coLeader,358,480,12134,11,11,156,0,2050,12,0,1500,8,0,2900,16,0,2250,12,0,2450,16,0,2200,16,0,1950,12,0,2700,16,0,2300,16,0,2700,16,0,2200,16,0
#V9GYJQ0J9,Boi,False,unknown,0,0,0,6,6,70,58,200,1,0,1500,11,0,1800,16,16,1300,12,12,1700,16,16,1500,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2V800VCQ0,Desteoyer,True,elder,20,480,11500,11,11,161,0,2000,13,0,1750,14,0,1700,12,0,3000,16,0,2000,12,0,2350,16,0,2300,15,0,2450,15,0,2550,16,0,2350,16,0,2500,16,0
#QVQGCV8Y9,Rainer,True,elder,0,0,12083,11,11,143,0,1500,8,0,1600,12,0,2750,16,0,2300,12,0,1900,14,0,2450,16,0,1950,16,0,2550,16,0,2150,13,0,1300,8,0,1700,12,0
#2VJR80RL,Denis,True,elder,8,40,11350,11,11,119,0,700,4,0,1700,12,0,3150,16,0,2400,12,0,2750,16,0,1700,8,0,2250,12,0,1250,7,0,2250,12,0,1750,12,0,1350,8,0
